model,model_raw,direction,direction_label,model_baseline_mean,mean_minus_baseline,n,mean,std,median,q1,q3,iqr,min,max,p10,p90,whisker_low,whisker_high
Claude Opus 4.6,anthropic/claude-opus-4.6,negative,persona-reinforcing (negative),0.7655382883548737,-0.01500665634870535,300,0.7505316320061683,0.09413687593483329,0.7552018761634827,0.7009711414575577,0.8210543394088745,0.12008319795131683,0.3716607391834259,0.9588170051574707,0.6214427411556244,0.8588374614715576,0.5214471817016602,0.9588170051574707
Claude Opus 4.6,anthropic/claude-opus-4.6,positive,alignment-inducing (positive),0.7655382883548737,-0.017859801848729484,300,0.7476784865061442,0.09405897852883308,0.7554837465286255,0.6816230565309525,0.8180412203073502,0.1364181637763977,0.43059325218200684,0.9671596884727478,0.6231750071048736,0.8593079626560212,0.5088276863098145,0.9671596884727478
DeepSeek V3.2,deepseek/deepseek-v3.2,negative,persona-reinforcing (negative),0.7515637572606405,0.004610310296217501,300,0.756174067556858,0.08171976775330889,0.7619439661502838,0.7066579312086105,0.8202218562364578,0.11356392502784729,0.4941158592700958,0.9237810373306274,0.646556168794632,0.8566413283348083,0.5381209850311279,0.9237810373306274
DeepSeek V3.2,deepseek/deepseek-v3.2,positive,alignment-inducing (positive),0.7515637572606405,-0.020635591745376658,300,0.7309281655152639,0.10474389467695655,0.7404678761959076,0.6752896308898926,0.807396724820137,0.13210709393024445,0.38582324981689453,0.9452489614486694,0.5835236966609955,0.8564887762069702,0.4933415353298187,0.9452489614486694
GLM-5,z-ai/glm-5,negative,persona-reinforcing (negative),0.7485030470291774,0.005783698161443085,300,0.7542867451906204,0.09424843218437715,0.7607917785644531,0.695258766412735,0.8232539594173431,0.12799519300460815,0.44641435146331787,0.9631253480911255,0.6289476573467254,0.86946981549263,0.5067939162254333,0.9631253480911255
GLM-5,z-ai/glm-5,positive,alignment-inducing (positive),0.7485030470291774,-0.035265256961186764,300,0.7132377900679906,0.10930560568494876,0.7261132597923279,0.6532907038927078,0.7879634648561478,0.13467276096343994,0.3415043354034424,0.9760791063308716,0.5648494482040405,0.8345641851425171,0.4518262445926666,0.9760791063308716
GPT-5.4,openai/gpt-5.4,negative,persona-reinforcing (negative),0.8366142396132151,0.0010831437508265207,300,0.8376973833640416,0.0793191371208047,0.8527697026729584,0.8012138605117798,0.900169774889946,0.0989559143781662,0.534479022026062,0.9615606069564819,0.7351828873157501,0.9186244487762452,0.6529751420021057,0.9615606069564819
GPT-5.4,openai/gpt-5.4,positive,alignment-inducing (positive),0.8366142396132151,-0.026539683739344233,300,0.8100745558738709,0.0779502620303963,0.8153402805328369,0.7590581178665161,0.8728788048028946,0.11382068693637848,0.5184862613677979,0.9524620771408081,0.7050453126430511,0.90420361161232,0.6117268800735474,0.9524620771408081
GPT-OSS-120B,openai/gpt-oss-120b,negative,persona-reinforcing (negative),0.8529478053251902,-0.013667306900024379,300,0.8392804984251658,0.09465464057677346,0.8580528795719147,0.8075343370437622,0.8989060819149017,0.09137174487113953,0.48434722423553467,0.9816075563430786,0.7208440482616425,0.9394953131675721,0.6801548600196838,0.9816075563430786
GPT-OSS-120B,openai/gpt-oss-120b,positive,alignment-inducing (positive),0.8529478053251902,-0.013616173664728781,300,0.8393316316604614,0.09590127996771305,0.8627981245517731,0.810765877366066,0.8999498188495636,0.08918394148349762,0.4918777346611023,0.9957231879234314,0.7114919662475586,0.9308943510055543,0.6772472262382507,0.9957231879234314
Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,negative,persona-reinforcing (negative),0.7594746088981629,0.01396436790625255,300,0.7734389768044154,0.0670716180623981,0.7787485420703888,0.7296980023384094,0.8221075534820557,0.09240955114364624,0.5571849346160889,0.9480171203613281,0.6864117383956909,0.8582229614257812,0.606191873550415,0.9480171203613281
