panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y,row,col,value
0,public + OTR,Debate turn,survey question,rectilinear,line,0,_child31,0.0,0.0,0.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,0,_child31,1.0,1.0,0.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,1,_child32,0.0,0.0,2.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,1,_child32,1.0,1.0,2.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,2,_child33,0.0,0.0,4.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,2,_child33,1.0,1.0,4.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,3,_child34,0.0,0.0,6.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,3,_child34,1.0,1.0,6.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,4,_child35,0.0,0.0,8.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,4,_child35,1.0,1.0,8.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,5,_child36,0.0,0.0,10.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,5,_child36,1.0,1.0,10.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,6,_child37,0.0,0.0,12.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,6,_child37,1.0,1.0,12.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,7,_child38,0.0,0.0,14.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,7,_child38,1.0,1.0,14.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,8,_child39,0.0,0.0,16.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,8,_child39,1.0,1.0,16.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,9,_child40,0.0,0.0,18.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,9,_child40,1.0,1.0,18.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,10,_child41,0.0,0.0,20.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,10,_child41,1.0,1.0,20.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,11,_child42,0.0,0.0,22.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,11,_child42,1.0,1.0,22.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,12,_child43,0.0,0.0,24.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,12,_child43,1.0,1.0,24.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,13,_child44,0.0,0.0,26.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,13,_child44,1.0,1.0,26.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,14,_child45,0.0,0.0,28.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,14,_child45,1.0,1.0,28.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,15,_child46,0.0,0.0,1.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,15,_child46,1.0,1.0,1.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,16,_child47,0.0,0.0,3.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,16,_child47,1.0,1.0,3.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,17,_child48,0.0,0.0,5.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,17,_child48,1.0,1.0,5.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,18,_child49,0.0,0.0,7.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,18,_child49,1.0,1.0,7.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,19,_child50,0.0,0.0,9.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,19,_child50,1.0,1.0,9.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,20,_child51,0.0,0.0,11.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,20,_child51,1.0,1.0,11.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,21,_child52,0.0,0.0,13.5,,,
0,public + OTR,Debate turn,survey question,rectilinear,line,21,_child52,1.0,1.0,13.5,,,
