agent,model,model_raw,condition,label,mean_prob,n_points
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,negative,entailment,0.13817835226494934,150
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,negative,neutral,0.8350186996161938,150
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,negative,contradiction,0.026802948439435568,150
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,baseline,entailment,0.1667933295716163,75
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,baseline,neutral,0.7615532411305078,75
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,baseline,contradiction,0.07165343538314725,75
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,positive,entailment,0.09503879988110081,150
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,positive,neutral,0.8266985041093237,150
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,positive,contradiction,0.07826269643536458,150
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,negative,entailment,0.1697858547490614,150
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,negative,neutral,0.809745958824642,150
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,negative,contradiction,0.020468186134433686,150
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,baseline,entailment,0.1942333591475229,75
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,baseline,neutral,0.8037992214784027,75
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,baseline,contradiction,0.00196741958114823,75
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,positive,entailment,0.08673112472237941,150
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,positive,neutral,0.8511680955160409,150
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,positive,contradiction,0.06210078390688674,150
alpha,GLM-5,z-ai/glm-5,negative,entailment,0.13445427127820342,150
alpha,GLM-5,z-ai/glm-5,negative,neutral,0.851911516104204,150
alpha,GLM-5,z-ai/glm-5,negative,contradiction,0.013634215251222485,150
alpha,GLM-5,z-ai/glm-5,baseline,entailment,0.143990730716323,75
alpha,GLM-5,z-ai/glm-5,baseline,neutral,0.8441268318270644,75
alpha,GLM-5,z-ai/glm-5,baseline,contradiction,0.011882434935153773,75
alpha,GLM-5,z-ai/glm-5,positive,entailment,0.046638436965731674,150
alpha,GLM-5,z-ai/glm-5,positive,neutral,0.7163225072453497,150
