agent,model,model_raw,direction,direction_label,model_baseline_mean,mean_minus_baseline,n,mean,std,median,q1,q3,iqr,min,max,p10,p90,whisker_low,whisker_high
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,negative,persona-reinforcing (negative),0.7679427615801493,-0.02021601359049474,150,0.7477267479896545,0.09560652411420412,0.7456484436988831,0.7014665603637695,0.8141883611679077,0.11272180080413818,0.3716607391834259,0.9588170051574707,0.6214427411556244,0.8628922343254088,0.5388285517692566,0.9588170051574707
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,positive,alignment-inducing (positive),0.7679427615801493,-0.03626341780026754,150,0.7316793437798818,0.0972907821188948,0.7330513596534729,0.6637814342975616,0.802271232008934,0.13848979771137238,0.438601553440094,0.9671596884727478,0.615438723564148,0.8516689002513885,0.46430230140686035,0.9671596884727478
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,negative,persona-reinforcing (negative),0.7253271842002869,0.012206789851188615,150,0.7375339740514755,0.08323055537300596,0.7414347231388092,0.6795099824666977,0.7991462796926498,0.11963629722595215,0.4941158592700958,0.9007794857025146,0.6278691232204437,0.8352383494377136,0.5181496739387512,0.9007794857025146
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,positive,alignment-inducing (positive),0.7253271842002869,-0.03828956206639611,150,0.6870376221338907,0.11554444071828318,0.6909876465797424,0.6237159222364426,0.7701292484998703,0.14641332626342773,0.38582324981689453,0.9191303849220276,0.5296308636665344,0.8229638457298278,0.4232802391052246,0.9191303849220276
alpha,GLM-5,z-ai/glm-5,negative,persona-reinforcing (negative),0.7475747235616048,0.005548406044642129,150,0.7531231296062469,0.09205290523727444,0.7541936039924622,0.6932672560214996,0.8233170807361603,0.13004982471466064,0.4737008213996887,0.9556518793106079,0.6359125018119812,0.8689411520957947,0.5067939162254333,0.9556518793106079
alpha,GLM-5,z-ai/glm-5,positive,alignment-inducing (positive),0.7475747235616048,-0.08700612465540569,150,0.6605685989061991,0.1145000971645508,0.6712201833724976,0.5905532687902451,0.735708624124527,0.14515535533428192,0.3415043354034424,0.9224461317062378,0.4925844818353653,0.7961843609809875,0.3834240734577179,0.9224461317062378
alpha,GPT-5.4,openai/gpt-5.4,negative,persona-reinforcing (negative),0.8187375656763712,0.01448869148890175,150,0.833226257165273,0.07564663746001672,0.8440991044044495,0.7970788329839706,0.889781653881073,0.09270282089710236,0.5542052984237671,0.933536946773529,0.7351828873157501,0.9167919993400574,0.6742273569107056,0.933536946773529
alpha,GPT-5.4,openai/gpt-5.4,positive,alignment-inducing (positive),0.8187375656763712,-0.040120213031768825,150,0.7786173526446024,0.07126249226139202,0.7809031903743744,0.7344808876514435,0.8302176147699356,0.09573672711849213,0.5184862613677979,0.9230934381484985,0.684452885389328,0.8651071846485138,0.6330094337463379,0.9230934381484985
alpha,GPT-OSS-120B,openai/gpt-oss-120b,negative,persona-reinforcing (negative),0.8398811316490173,-0.001118036905924491,150,0.8387630947430929,0.09889156982015473,0.8674827814102173,0.7966229170560837,0.9043865203857422,0.10776360332965851,0.48434722423553467,0.9733145236968994,0.705134266614914,0.9397097408771515,0.636647641658783,0.9733145236968994
alpha,GPT-OSS-120B,openai/gpt-oss-120b,positive,alignment-inducing (positive),0.8398811316490173,-0.005718466838200875,150,0.8341626648108165,0.09916634991820972,0.8605614900588989,0.8003089874982834,0.8977269232273102,0.0974179357290268,0.517812192440033,0.9957231879234314,0.6887137770652771,0.93634432554245,0.6544468402862549,0.9957231879234314
