panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,0,public,0,0.0,0.011146447621285915
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,0,public,1,1.0471975511965976,0.0028359685093164444
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,0,public,2,2.0943951023931953,0.0033912721555680037
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,0,public,3,3.141592653589793,0.0008064293651841581
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,0,public,4,4.1887902047863905,0.00913696177303791
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,0,public,5,5.235987755982988,0.003653934458270669
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,0,public,6,0.0,0.011146447621285915
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,1,OTR,0,0.0,0.07813461124897003
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,1,OTR,1,1.0471975511965976,0.010879947803914547
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,1,OTR,2,2.0943951023931953,0.1011694148182869
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,1,OTR,3,3.141592653589793,0.030654486268758774
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,1,OTR,4,4.1887902047863905,0.054926153272390366
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,1,OTR,5,5.235987755982988,0.012167615815997124
0,"mid-level manager -- turn 1
neutral: pub=0.97, otr=0.71",,,polar,line,1,OTR,6,0.0,0.07813461124897003
1,"mid-level manager -- turn 2
neutral: pub=0.91, otr=0.06",,,polar,line,0,public,0,0.0,0.005513552110642195
